Restaurant ID,Name,Cuisine,Locality,City,Rating,Delivery
16600038,Bib & Tucker,"Modern Australian, Cafe Food",North Fremantle,Perth,4.1,No
16597645,Mrs. S,"Patisserie, Cafe Food",Maylands,Perth,4.5,No
18196379,tbsp.,"Sandwich, Coffee and Tea, Cafe Food",Bayswater,Perth,4.7,No
16598431,Tuck Shop Cafe,"Modern Australian, Cafe Food",Northbridge,Perth,4.8,No
16599082,Sayers Sister,"Modern Australian, Coffee and Tea",Perth CBD,Perth,4.6,No
16596036,Ha-Lu,"Japanese, Tapas","Oxford Street, Leederville",Perth,4.8,No
16595894,Ciao Italia,"Italian, Seafood",South Perth,Perth,4.5,Yes
16599032,Piccolo's Corner,"Healthy Food, Cafe Food",West Leederville,Perth,4.5,No
16597513,Pacific Rim Mix Plate,"Hawaiian, Japanese",Applecross,Perth,4.9,No
16600553,Bread In Common,"Mediterranean, Bakery",Fremantle,Perth,4.4,No
16596238,Nao Japanese,"Japanese, Ramen","Hay Street, Perth CBD",Perth,4.7,No
16596903,Moore & Moore,"Coffee and Tea, Modern Australian, Cafe Food","Henry Street, Fremantle",Perth,4.4,No
16600511,Palsaik Namoo,"Korean, BBQ",Perth CBD,Perth,4.5,No
16600889,Little Creatures Fremantle Brewery,"Bar Food, Modern Australian",Fremantle,Perth,4.3,No
16599893,La Veen Coffee & Kitchen,"Modern Australian, Cafe Food","Wellington Street, Northbridge",Perth,4.2,No
18016553,Chu Bakery,Bakery,Highgate,Perth,4.5,No
16599949,Gordon St Garage,"Modern Australian, Cafe Food, Coffee and Tea",West Perth,Perth,4.0,No
16596362,Sayers,"Modern Australian, Cafe Food","Carr Place, Leederville",Perth,4.5,No
16597137,The Raw Kitchen,"Healthy Food, Pizza, Cafe Food",Fremantle,Perth,4.5,No
16598699,Gusto Food,"Desserts, Cafe Food",South Perth,Perth,4.6,No
18016553,Chu Bakery,Bakery,Highgate,Perth,4.5,No
16599949,Gordon St Garage,"Modern Australian, Cafe Food, Coffee and Tea",West Perth,Perth,4.0,No
16596362,Sayers,"Modern Australian, Cafe Food","Carr Place, Leederville",Perth,4.5,No
16597137,The Raw Kitchen,"Healthy Food, Pizza, Cafe Food",Fremantle,Perth,4.5,No
16598699,Gusto Food,"Desserts, Cafe Food",South Perth,Perth,4.6,No
16599765,Harvest Espresso,Cafe Food,Victoria Park,Perth,4.4,No
16596244,Nine Fine Food,"Japanese, Modern Australian",Perth CBD,Perth,4.7,No
16601597,Hylin,"Coffee and Tea, Cafe Food",West Leederville,Perth,4.5,No
16598168,Nobu Perth,"Japanese, Sushi",Burswood,Perth,4.8,No
16596306,The Prophet Lebanese Cafe,"Middle Eastern, Cafe Food",East Victoria Park,Perth,4.6,No
16600113,Toastface Grillah,"Sandwich, Coffee and Tea","Saint Georges Terrace, Perth CBD",Perth,4.5,No
16596815,S & T Thai Gourmet Cafe,Thai,Perth CBD,Perth,4.6,No
16597030,Prego Restaurant,"Italian, Mediterranean",Floreat,Perth,4.6,No
16600681,Pinchos,"Spanish, Tapas",Leederville,Perth,4.4,No
16600128,Typika Artisan Roasters,"Coffee and Tea, Cafe Food",Claremont,Perth,4.2,No
16595944,Duende,"Tapas, Spanish",Leederville,Perth,4.4,No
16595766,Balthazar,"European, Modern Australian",Perth CBD,Perth,4.5,No
16599599,Mr. Munchies Sushi,"Japanese, Sushi, Healthy Food",Mount Lawley,Perth,4.3,Yes
16599597,Is Donburi,Japanese,Northbridge,Perth,4.5,No
16598588,La Cholita,"Mexican, Bar Food",Northbridge,Perth,4.1,No
16595944,Duende,"Tapas, Spanish",Leederville,Perth,4.4,No
16595766,Balthazar,"European, Modern Australian",Perth CBD,Perth,4.5,No
16599599,Mr. Munchies Sushi,"Japanese, Sushi, Healthy Food",Mount Lawley,Perth,4.3,Yes
16599597,Is Donburi,Japanese,Northbridge,Perth,4.5,No
16598588,La Cholita,"Mexican, Bar Food",Northbridge,Perth,4.1,No
16596860,The Bonsai Restaurant & Cafe Lounge,Japanese,Northbridge,Perth,4.6,No
16599574,Lalla Rookh Bar & Eating House,"Italian, Pizza",Perth CBD,Perth,4.3,No
16600792,Brika,"Greek, Tapas, Mediterranean",Perth CBD,Perth,4.2,Yes
16600326,Mary Street Bakery,Bakery,Highgate,Perth,4.0,No
